version,codename,release_date
3.44,Solothurn,2025-06-20
3.42,Münster,2025-02-21
3.40,Bratislava,2024-10-25
3.38,Grenoble,2024-06-21
3.36,Maidenhead,2024-02-23
3.34,Prizren,2023-10-29
3.32,Lima,2023-06-26
3.30,'s-Hertogenbosch,2023-03-04
3.28,Firenze,2022-10-21
3.26,Buenos Aires,2022-06-17
3.24,Tisler,2022-02-18
3.22,Białowieża,2021-10-22
3.20,Odense,2021-06-18
3.18,Zürich,2021-02-19
3.16,Hannover,2020-10-23
3.14,Pi,2020-06-19
3.12,Bucharest,2020-02-21
3.10,A Coruña,2019-10-25
3.8,Zanzibar,2019-06-21
3.6,Noosa,2019-02-22
3.4,Madeira,2018-10-26
3.2,Bonn,2018-06-22
3.0,Girona,2018-02-23